id,naziv,adresa,mesto,lat ,lon,2020-04-10,2020-04-04
1,Шујдовић,Маршала Тита,Банатски Брестовац,44.728019,20.811108,1,1
2,Шујдовић,Саве Ковачевића 36,Банатски Брестовац,44.729646,20.817307,1,1
3,АД Подунавље,Панчевачка бб,Банатски Брестовац,44.728086,20.809289,1,1
4,Доо Васиљевић и син,Касапиновића 5,Панчево,44.8681854,20.6414935,1,1
5,Доо Васиљевић и син,Војвођански булевар 46,Панчево,44.8824316,20.644944,1,1
6,Доо Васиљевић и син,Краља Милана Обреновића 9,Панчево,44.8720264,20.6628065,1,1
7,Доо Васиљевић и син,Вељка Петровића 11,Панчево,44.865252,20.666844,1,1
8,GIZ FRUITS,Војвођански булевар ББ,Панчево,,,1,1
9,Далма ДМ,Моше Пијаде 104,Панчево,44.879721,20.648276,1,1
10,Далма ДМ,Браће Јовановића 83,Панчево,44.875673,20.647613,1,1
11,Далма ДМ,Кикиндска 9,Панчево,44.883770,20.645571,1,1
12,Далма ДМ,Вељка Петровића 5,Панчево,44.864122,20.664866,1,1
13,ТР Дуња за вас,Баваништански пут 111,Панчево,44.871677,20.676588,1,1
14,ФАМ маркет,Козарачка 84а,Панчево,44.879166,20.675927,1,1
15,СТР Благо,Јосифа Маринковића 45,Панчево,44.873041,20.658541,1,1
16,Луковић маркет,Илије Гарашанина 6,Панчево,44.872452,20.663752,1,1
17,Пилећи дућан,Жарка Зрењанина 3,Панчево,44.869220,20.641791,1,1
18,СД 013,Книћанинова 14,Панчево,44.884029,20.633230,1,1
19,Стр Сњежана,Бачванска 23,Панчево,44.8832777,20.6676928,1,1
20,Стр Миса Келе Подунавље,Рашка 16,Панчево,44.882852,20.667369,1,1
21,СТР ТиТ,Македонска 14,Панчево,44.880708,20.665223,1,1
22,ТР Цеца 013,Козарачка 183,Панчево,44.885247,20.666403,1,1
23,ТР Цеца 013,Скадарска 3,Панчево,44.884787,20.656778,1,1
24,Про Трејд 1,Цара Душана 40,Панчево,44.866143,20.650770,1,1
25,Про Трејд 2,Жарка Зрењанина,Панчево,,,1,1
26,Про Трејд 3,Петра Прерадовића 36,Панчево,44.867043,20.651896,1,1
27,ДЕЛЕЗ,Светог Саве 8А,Панчево,44.872598,20.647089,1,1
28,ДИС,Милоша Обреновића 12,Панчево,44.869230,20.661325,1,1
29,ЛИДЛ,Милоша Обреновића 12Б,Панчево,44.869165,20.662240,1,1
30,ЛИДЛ,Моше Пијаде 104,Панчево,44.879306,20.647581,1,1
31,Меркатор,Браће Јовановића 104,Панчево,44.879716,20.654616,1,1
32,Родић,Скадарска ББ,Панчево,44.891676,20.667609,1,1
34,АД Подунавље,Војвођански булевар 9,Панчево,44.8827852,20.6465205,1,1
35,АД Подунавље,Вељка Влаховића 11,Панчево,44.863327,20.668806,1,1
36,Фуди маркет Вања,Борова 10,Панчево,44.864729,20.760763,1,1
37,Лана ВЖ,Кестенова ББ,Панчево,,,1,1
38,СТР Јелена 2,Светозара Марковића 244,Панчево,44.838195,20.679587,1,1
39,Зоки маркет,Добровољачка 44,Панчево,44.848441,20.671388,1,1
40,Младост Подунавље,Гробљанска 12,Панчево,44.8443326,20.6728861,1,1
41,Ад Подунавље,Иве Лоле Рибара 1,Старчево,,,1,1
42,Банат,Жарка Зрењанина 67,Старчево,,,1,1
43,Јуниор Фуд,Панчевачки пут 2,Старчево,,,1,1
44,Лукић,Иве Лоле Рибара 81а,Старчево,,,1,1
45,Ниџа и Неца,Маршала Тита 38,Старчево,,,1,1
46,Пекара Пејић,Панчевачки пут 2,Старчево,,,1,1
47,Пекара Стојиљковић,Маршала Тита 2,Старчево,,,1,1
48,Старчевка,Иве Лоле Рибара 1,Старчево,,,1,1
49,Гомекс,Трг Светог Саве ББ,Омољица,,,1,1
50,Влада,Патријарха Арсенија Чарнојевића 9Б,Омољица,,,1,1
51,Влада,Трг Светог Саве,Омољица,,,1,1
52,Влада,Краља Петра I бр. 25,Омољица,,,1,1
53,Влада,Цара Душана 105,Омољица,,,1,1
54,Влада,Вука Караџића 55,Омољица,,,1,1
55,Влада,Ђуре Јакшића 87,Омољица,,,1,1
56,СТР Маринка,Дожа Ђерђа 51,Иваново,,,1,1
57,Тика,Дожa Ђерђа 23,Иваново,,,1,1
58,СТР Биља,Краља Петра I бр,Долово,,,1,1
59,СТР Биља,Радничка 104,Долово,,,1,1
60,СТР Дуца,Светозара Марковића 28,Долово,,,1,1
61,АД Подунавље,Краља Петра I бр. 36,Долово,,,1,1
62,АД Подунавље,Маршала Тита 67,Банатско Ново Село,44.990068,20.782582,1,1
63,Мира 1 мај,Првомајска 43,Качарево,44.970736,20.695747,1,1
64,Мавко,Радничка 104,Качарево,44.958014,20.694784,1,1
65,Јаца трговина,Маршала Тита 13а,Качарево,44.964553,20.692968,1,1
66,Пеђа и Маја,Маршала Тита 57,Качарево,44.968216,20.704018,1,1
67,АД Подунавље,Народног фронта ББ,Качарево,,,1,1
68,Браво,Маршала Тита 53,Јабука,44.948554,20.603136,1,1
69,АД Подунавље,Трг Бориса Кидрича 12,Јабука,44.948592,20.594821,1,1
70,Дисконт Стоилковић,Ослобођења 88,Глогоњ,44.986641,20.523573,1,1
71,Дућан 2013,1. маја 45,Глогоњ,44.990841,20.523164,1,1
72,АД Подунавље,Ослобођења 69,Глогоњ,44.988331,20.522617,1,1